,predicted,ground_truth,predicted_text,ground_truth_text,text
45,6,0,UX,Deliberation,Okay so maybe we could each write out an answer for the first part of the question and then we edit the response into one?
46,6,4,UX,Seminar,What would happen then?
47,1,4,Imaginative,Seminar,He was tied to his own idealistic principles?
48,5,4,Social,Seminar,I'm not sure. They're probably equally beautiful and just jealous :)
49,6,6,UX,UX,"Rebecca, it was a bit glitchy with me at times and I refreshed and logged back in"
50,6,4,UX,Seminar,I also found the story confusing and I had to re-read it several times
51,6,4,UX,Seminar,My initial thoughts were that the princess knows what's behind each of the doors because the King had told her or she figured it out from overhearing him talk about the punishment.
52,3,4,Procedure,Seminar,I think the king would subject her to the same law as everyone else and expect her fate to be decided in the arena.
53,1,4,Imaginative,Seminar,"I also got the sense that she would point her lover to the tiger's door, but now the more that I think about it, I think she would send him to the other woman."
54,5,5,Social,Social,"Yes, thank you too. Good job everyone. :)"
55,2,4,Other,Seminar,"This is such an unfortunate story. It looks to me that no matter the choice, all parties will be unhappy. I'd like to think that even though she did inherit some of her dad's fury, she would still try to give her lover a chance and not pick the door with the tiger. Perhaps, she doesn't want to be as cruel as her father, and in the name of love, sacrificed her fate to allow her lover to live. I agree with some of your sentiments about the obsession and control the father holds over his daughter. She has "
56,5,0,Social,Deliberation,Are we ready for that?
57,5,5,Social,Social,I'd say we pretty have wrapped things up then. It was nice working with both of you!
58,6,4,UX,Seminar,"As for the King, he will likely send his daughter to face the same punishment as her lover. As a King, he should treat all lawbreaking the same. However, I wonder if he will crack and pull the same trick that the princess had with her lover or if he will remain firm with his decision."
59,6,0,UX,Deliberation,Or we could take turns writing out a paragraph and jump one it from the last person's response.
60,5,4,Social,Seminar,Good idea.
61,6,5,UX,Social,"Hello everyone, can you see this?"
62,3,4,Procedure,Seminar,He sentences her to the same trial.
63,1,4,Imaginative,Seminar,"While Jealousy is a strong determinate, Love is often stronger, and it would make sense to allow her lover to live out of love just as much as it would make"
64,2,4,Other,Seminar,I mean I think it states that the king does love the daughter at some point though.
65,1,4,Imaginative,Seminar,"I agree with you Lillian Flores about it depending on someone, but I feel that it is up to the person reading the story and reflecting on the actions of the characters. In this case, the princess was jealous of the girl and she was also semi-barbaric like her father, so I feel she would have chosen the door with the tiger for the man. If I go with my own emotions, even though the author said not to base it on that, I would think that the princess would make the right choice with the right door and let him marry the man.  Although, would the man trust the princess enough and choose the same door as she indicated? So behind the right door would be the tiger.  They are both semibarbaric, so the King would most likely be disappointed at first, but either way, he got what he wanted and that was to keep his daughter away from this man. In this case, either sentence would be justice in his eyes."
66,1,4,Imaginative,Seminar,"I agree with you ladies. I also think that she sends him to the tiger. She loves him fiercely, so fiercely that she cannot bear the thought of someone else having him. Jealousy can make people do ugly things and mix that in with her pure barbaric nature, it makes sense that she would choose for him to stop living versus living with someone else. Mourning would be easier than seeing the person you love happy with another, which is clear by the ways she describes her thoughts and turmoil over the situation."
67,6,4,UX,Seminar,"That's a really insightful point, Gina!"
68,6,4,UX,Seminar,That's certainly an interesting way to look at the potential of that kind of ending.
69,1,4,Imaginative,Seminar,"There seems to be very little compassion or empathy displayed by the king or the princess  even when the princess thinks of her lover  she thinks of herself not necessarily him."""
70,5,6,Social,UX,"Okay, me too! Sorry there's a bit of a delay on my end."
71,5,5,Social,Social,"Sounds good, I am going to get off of here."
72,3,3,Procedure,Procedure,"I sent an email to the coordinator and I hope to hear back from them, but I wouldn't mind setting up a discussion in our class page too"
73,1,1,Imaginative,Imaginative,I would feel guilty for the rest of my life.
74,5,5,Social,Social,"Oh, hi Rebecca!"
75,5,5,Social,Social,I think it would be fun too!
76,6,0,UX,Deliberation,"The more I think about this activity, the more I wonder if we are supposed to be collaboratively writing an end to the story. "
77,6,6,UX,UX,It doesn't matter the combo of the questions
78,6,4,UX,Seminar,"Part 1: Ultimately, it is left for the reader to decide what is behind the door,"
79,2,1,Other,Imaginative," Personally, I would save him. "
80,2,5,Other,Social,"Thanks. I apologize for delaying you on completing this assignment, but I appreciate your taking the extra time for me. Good luck with the rest of the semester!"
81,6,0,UX,Deliberation,she was smiling by the end and the book told me i did well
82,5,5,Social,Social,Good job!
83,1,4,Imaginative,Seminar,"I agree with you, Diane Gonzalez. I am convinced that the princess lead the gentleman to the door hiding the tiger. It would make a brilliant plot twist, but with the information we know about the character of the King, that can be found within the princess as well. In my mind she believes if she can't have the man, she sure does not want another woman to have him, especially someone she despises."
84,1,4,Imaginative,Seminar,Hi Helen Howard! I feel this text is meant to unsettle in a way. It wasn't just the barbarism but also the mention of ancestry and blood that made me think it was fatalistic in a way. Kind of like the King and Princess were destined to act in cruel ways. I'm glad that someone else picked up on it too and I really liked your point that it does feel labeling a society in sweeping terms.
85,1,4,Imaginative,Seminar,Part 1: I think the princess hints to him the door with the lover. She is described as only semi barberous and so by having her show mercy to her former lover she provides a foil of free will to the Barbarous Kings fate based judicious system.
86,6,6,UX,UX,I'm not sure what you mean by the final question. Once I put in the 4 questions it let me finish reading the last two pages.
87,6,4,UX,Seminar,"Part One con't: Oops, sent the rest before finishing this thought. I think the lover goes to the door on the left instead of the door on the right, thinking on her barbaric"" nature and that she'd likely betray him  and finds a lady instead of the tiger. I'm assuming even though he knows her  it would leave him in shock knowing that the Princess would want him dead if she cannot keep him to herself."""
88,3,4,Procedure,Seminar,"When the King discovers that his daughter has broken the law, I believe he would most likely make an exception for her. In the story it stated that the King put the love for his  therefore I highly doubt he would send her into the arena. Because of the King views himself and his daughter as royalty, I would speculate that he would come up with an  alternate punishment for his daughter . daughter above all of humanity"" and that she was the ""apple of his eye"
89,1,4,Imaginative,Seminar,"I had orgininally thought that the king would either keep her secret out of love for his daughter, or out of barbaric pride that she sent her lover to his grizzly death, or a combination of the two. "
90,1,4,Imaginative,Seminar,"I think so. Even though the story said he loved her so much, I think his barbaric nature would take over his reasoning"
91,1,4,Imaginative,Seminar,"I feel that with the personalities traits provided to both the king and princess, she decided that death would be more appropriate than another woman, a rival, living happily with her lover. The princess was already wavering with deciding if he was faithful, so why would she give him and her rival the satisfaction? The lion seems to be the only choice for her disposition and upbringing."
