,text,true_label,predicted_label
53,"I also got the sense that she would point her lover to the tiger's door, but now the more that I think about it, I think she would send him to the other woman.",Seminar,Unknown
54,"Yes, thank you too. Good job everyone. :)",Social,Unknown
55,"This is such an unfortunate story. It looks to me that no matter the choice, all parties will be unhappy. I'd like to think that even though she did inherit some of her dad's fury, she would still try to give her lover a chance and not pick the door with the tiger. Perhaps, she doesn't want to be as cruel as her father, and in the name of love, sacrificed her fate to allow her lover to live. I agree with some of your sentiments about the obsession and control the father holds over his daughter. She has ",Seminar,Unknown
56,Are we ready for that?,Deliberation,Unknown
57,I'd say we pretty have wrapped things up then. It was nice working with both of you!,Social,Unknown
58,"As for the King, he will likely send his daughter to face the same punishment as her lover. As a King, he should treat all lawbreaking the same. However, I wonder if he will crack and pull the same trick that the princess had with her lover or if he will remain firm with his decision.",Seminar,Unknown
59,Or we could take turns writing out a paragraph and jump one it from the last person's response.,Deliberation,Unknown
60,Good idea.,Seminar,Unknown
61,"Hello everyone, can you see this?",Social,Unknown
62,He sentences her to the same trial.,Seminar,Unknown
63,"While Jealousy is a strong determinate, Love is often stronger, and it would make sense to allow her lover to live out of love just as much as it would make",Seminar,Unknown
64,I mean I think it states that the king does love the daughter at some point though.,Seminar,Unknown
65,"I agree with you Lillian Flores about it depending on someone, but I feel that it is up to the person reading the story and reflecting on the actions of the characters. In this case, the princess was jealous of the girl and she was also semi-barbaric like her father, so I feel she would have chosen the door with the tiger for the man. If I go with my own emotions, even though the author said not to base it on that, I would think that the princess would make the right choice with the right door and let him marry the man.  Although, would the man trust the princess enough and choose the same door as she indicated? So behind the right door would be the tiger.  They are both semibarbaric, so the King would most likely be disappointed at first, but either way, he got what he wanted and that was to keep his daughter away from this man. In this case, either sentence would be justice in his eyes.",Seminar,Unknown
66,"I agree with you ladies. I also think that she sends him to the tiger. She loves him fiercely, so fiercely that she cannot bear the thought of someone else having him. Jealousy can make people do ugly things and mix that in with her pure barbaric nature, it makes sense that she would choose for him to stop living versus living with someone else. Mourning would be easier than seeing the person you love happy with another, which is clear by the ways she describes her thoughts and turmoil over the situation.",Seminar,Unknown
67,"That's a really insightful point, Gina!",Seminar,Unknown
68,That's certainly an interesting way to look at the potential of that kind of ending.,Seminar,Unknown
69,"There seems to be very little compassion or empathy displayed by the king or the princess  even when the princess thinks of her lover  she thinks of herself not necessarily him.""",Seminar,Unknown
70,"Okay, me too! Sorry there's a bit of a delay on my end.",UX,Unknown
71,"Sounds good, I am going to get off of here.",Social,Unknown
72,"I sent an email to the coordinator and I hope to hear back from them, but I wouldn't mind setting up a discussion in our class page too",Procedure,Unknown
73,I would feel guilty for the rest of my life.,Imaginative,Unknown
74,"Oh, hi Rebecca!",Social,Unknown
75,I think it would be fun too!,Social,Unknown
76,"The more I think about this activity, the more I wonder if we are supposed to be collaboratively writing an end to the story. ",Deliberation,Unknown
77,It doesn't matter the combo of the questions,UX,Unknown
78,"Part 1: Ultimately, it is left for the reader to decide what is behind the door,",Seminar,Unknown
79," Personally, I would save him. ",Imaginative,Unknown
80,"Thanks. I apologize for delaying you on completing this assignment, but I appreciate your taking the extra time for me. Good luck with the rest of the semester!",Social,Unknown
81,she was smiling by the end and the book told me i did well,Deliberation,Unknown
82,Good job!,Social,Unknown
83,"I agree with you, Diane Gonzalez. I am convinced that the princess lead the gentleman to the door hiding the tiger. It would make a brilliant plot twist, but with the information we know about the character of the King, that can be found within the princess as well. In my mind she believes if she can't have the man, she sure does not want another woman to have him, especially someone she despises.",Seminar,Unknown
84,Hi Helen Howard! I feel this text is meant to unsettle in a way. It wasn't just the barbarism but also the mention of ancestry and blood that made me think it was fatalistic in a way. Kind of like the King and Princess were destined to act in cruel ways. I'm glad that someone else picked up on it too and I really liked your point that it does feel labeling a society in sweeping terms.,Seminar,Unknown
85,Part 1: I think the princess hints to him the door with the lover. She is described as only semi barberous and so by having her show mercy to her former lover she provides a foil of free will to the Barbarous Kings fate based judicious system.,Seminar,Unknown
86,I'm not sure what you mean by the final question. Once I put in the 4 questions it let me finish reading the last two pages.,UX,Unknown
87,"Part One con't: Oops, sent the rest before finishing this thought. I think the lover goes to the door on the left instead of the door on the right, thinking on her barbaric"" nature and that she'd likely betray him  and finds a lady instead of the tiger. I'm assuming even though he knows her  it would leave him in shock knowing that the Princess would want him dead if she cannot keep him to herself.""",Seminar,Unknown
88,"When the King discovers that his daughter has broken the law, I believe he would most likely make an exception for her. In the story it stated that the King put the love for his  therefore I highly doubt he would send her into the arena. Because of the King views himself and his daughter as royalty, I would speculate that he would come up with an  alternate punishment for his daughter . daughter above all of humanity"" and that she was the ""apple of his eye",Seminar,Unknown
89,"I had orgininally thought that the king would either keep her secret out of love for his daughter, or out of barbaric pride that she sent her lover to his grizzly death, or a combination of the two. ",Seminar,Unknown
90,"I think so. Even though the story said he loved her so much, I think his barbaric nature would take over his reasoning",Seminar,Unknown
91,"I feel that with the personalities traits provided to both the king and princess, she decided that death would be more appropriate than another woman, a rival, living happily with her lover. The princess was already wavering with deciding if he was faithful, so why would she give him and her rival the satisfaction? The lion seems to be the only choice for her disposition and upbringing.",Seminar,Unknown
92,Glad you like that idea ,Social,Unknown
93,"I am on,",Procedure,Unknown
94, in being conflicted by happily ever after and greed. I chose the tiger behind the door because the story paints her out to be extremely jealous and barbaric.,Seminar,Unknown
95,"Oh, sorry! Yes I read it",Seminar,Unknown
96,"Kyra, I LOVE what you did for part 1!! ",Social,Unknown
97,does this mean we are barbaric too?,Imaginative,Unknown
98,"Whether or not the princess 'saved' him away from the tiger, she interferred and the kind would not allow that.",Seminar,Unknown
99,"Perfect, we are all here.",Procedure,Unknown
100,The story also leads me to think that she is accustomed to having her every wish granted by her father and that she never learned the benefits of compassion.,Seminar,Unknown
101," Sadly  the barbaric nature of the king and princess is still alive today in crimes of passion.""",Seminar,Unknown
102,Good point you made Rebecca,Seminar,Unknown
103,"Although the King is one that like to follows the rules and has a very barbaric side, he doesn't send his daughter to the tribunal. Instead he makes her live with the agony of living without her love and while facing the fact of her character.",Seminar,Unknown
104,So did I. Do you think they are in another course?,UX,Unknown
105,"I feel the flow doesn't entirely match the original story, but I felt it was awkwardly written and okay. We can add (ending) before it?",Deliberation,Unknown
106,"My first thought was that the Princess would send her lover to the tiger (because she is like her father and seems to spend a lot more time dwelling on what would happen if he chose the door with the lady than what would happen if he got the tiger), but Michelle makes a good point - that she represents free will in opposition to her father (by finding out what was behind each door). I do think that a lot of this story rests in what the reader brings to it - whether the reader thinks that the Princess would send her lover to death or give him a life without her, depends upon the reader's perception of the world and of the context of the story, rather than just the story itself. Now, I do think that the King would alter the punishment for her daughter when he finds out that she broke the law, simply because he loves her so much and I don't think he would send her to the arena (although I think that would make a more interesting story in my opinion).",Seminar,Unknown
107,I can't see when people are online but I can see that you've checked the book recently,UX,Unknown
108,...,Seminar,Unknown
109,This action seems indicitive of her barbaric and jealous nature because this way she remains the conquerer  and if she cannot,Seminar,Unknown
110,I agree that the princess could just banish the new couple away too. Do we have to agree on a single ending?,Seminar,Unknown
111,"however, she only comments that a tiger would bring shrieks and blood. From her revealed thoughts, she is ",Seminar,Unknown
112,I guess the ending depends on how everyone interprets it,Seminar,Unknown
113,"I think she tells him to go to the right but he goes to the left, finding the lady behind the door. In that moment realizes that she led him to his death. The Princess then has to face the fact that he found out she would rather see him dead than with the lady.",Seminar,Unknown
114,"Interesting Jennifer Gonzalez that I initially thought the Tiger because of her jealousy and that if she could not have him, then no one could have him. But, I changed my mind with the hope of a happier ending.",Seminar,Unknown
115,Ahhh I love your response too!,Social,Unknown
116,I don't think I should have gone outside this platform to Google the book since this is supposed to be a discussion between us via this platform. Sorry about that.,Deliberation,Unknown
117,"If the secret was shared with the community, I also think that it would be her informant that would be punished.",Seminar,Unknown
118,"Anna Jones, this is what I was thinking. If you really loved him you wouldn’t allow that. Alexandra, I was leaning toward the tiger at first because of the descriptions you gave. The apple doesn’t fall far from the tree and all that. 🙂",Seminar,Unknown
119,I did this assignment twice last semester. I think they are just trying to get feedback on how it works/doesn't work. If the prompts and/or grouping is sufficient.,Procedure,Unknown
120, I'm definitely okay with another approach that we can all agree on,Seminar,Unknown
121,Thank you team!  Nice collab!,Social,Unknown
122,Yeah I was wondering because when I click 'My Answer' at the top it says I haven't submitted one. ,UX,Unknown
123, I think that she may dislike the idea that he marries another more than him dying.,Seminar,Unknown
124,had great grief over her lover in another’s arms.,Seminar,Unknown
125,I honestly don’t think the king would have done anything after discovering his daughter broke the law. He probably covered it up or considered her already punished through her lovers fate.,Seminar,Unknown
126,she would send him to his death.,Seminar,Unknown
127,"I read the story and I am ready for discussion too. Let's decide on a mutual time for this. Thanks,",Procedure,Unknown
128,Live Without Him is probably the most important question,Deliberation,Unknown
129,I have never heard this story before... and I was wondering if it is some kind of folk tale?  Has anyone else seen this story before and do you know what culture it is from?,Seminar,Unknown
130,I'm also okay with either ending for Part 1 as well. ,Seminar,Unknown
131,"Oh, yeah! You make up the questions and then can advance!",UX,Unknown
132,She's definitely her father's child.,Seminar,Unknown
133,Any additions?,Deliberation,Unknown
134,Should we write it as continuing the story or just as a normal response?,Deliberation,Unknown
135,I couldn't either.,Procedure,Unknown
136,"I think that she sends her lover to another woman. Even though the thought of him being with someone else is devastating, I don't think she could handle knowing that she  I was secretly hoping that the Princess would find a way to be the woman behind the door that I can't see her just setting him up to die! I think that the King would put his daughter through the system caused his death. I agree with the idea that we will all bring our own ideas to how we interpret the story; I have always been a Disney fantasyland"" sort of girl- true love conquers all and all that other stuff. But she took such a risk to love him  even if that meant changing his rules about who could court his daughter. As I was reading the story  defying her father and choosing true love over being a princess!""",Seminar,Unknown
137,I don't think this e-book times out so we should be ok,UX,Unknown
138,Okay Hi Rebecca and Katie,Social,Unknown
139,"Does anyone have any idea how to ""add the title SUBMITTED"" to our response?",UX,Unknown
140,"I thought we could all answer the questions in the messaging area (like you & I did), then we can take turns drafting a group response",UX,Unknown
141,we should keep it simple,Deliberation,Unknown
142,that the emphasis on barbarism implies that she sent him to the lion.,Seminar,Unknown
143,But I'm not sure how this princess would think.,Seminar,Unknown
144,"Hi Diane Gonzalez and Deborah Evans. I'm sorry to be so late joining the conversation. If I ponder too long, I'll never come to a conclusion, so I'm going to write my first thoughts. I share your  he's barbaric, and he's fine doling out punishment to his own daughter, as his punishment of her lover has in effect punished her as well. take that the princess will direct the gentleman to the tiger - she's lost him either way and her jealousy and barbarism are too great. On the other hand, the text describes her and the gentleman as having one soul, which I take to mean he would know if she chose the tiger, in which case he'd choose the other door, yet he doesn't. So does that mean she didn't choose the tiger? Or that he'd rather die than be with another woman? For Part 2, I believe the king likely would not show mercy, even to his own daughter, as he has consistently relied on this method of justice",Seminar,Unknown
145,Me too I had to reread the first couple pages several times before I understood what was going on.,Seminar,Unknown
146,I don't think we have to agree on a single ending as both are viable. I still will go with the Lady as being behind the curtain. The King will be upset with this but will forgive his daughter. He may do something else to the boyfriend later.,Seminar,Unknown
147,I agree with Ashely ,Seminar,Unknown
148,This could either cause the King to become even more barbaric or to stop these trials all together,Seminar,Unknown
149,"I think the lady is behind the door. Regardless of how jealous you may be, you can't really love someone and also be able to tolerate watching them get torn apart by a wild animal.",Seminar,Unknown
150,Hey guys I got through the next page,Deliberation,Unknown
151,"Hi Anne Lee. Yes, the reader will certainly bring her or his background and ideas to the story. And the king did indeed get what he wanted. Good points!",Seminar,Unknown
152,"I know, I've been waiting my the computer",Social,Unknown
153,Looks good! I guess we can complete the post survey and submit our assignment,Social,Unknown
154,"Though, I do think it would have been particularly interesting to see her point him to the tiger, just for the tiger to not eat him by some stroke of luck. Perhaps the universe truly showing that the innocent go unpunished in this king's model of justice",Seminar,Unknown
155,"So if the King puts his daughter on trial, does that mean he sets her up with 2 doors as well?",Seminar,Unknown
156,I'm in google chrome,UX,Unknown
157,I honestly found the writing style in the story kind of confusing?,Seminar,Unknown
158,"She exhibits immaturity and cruelty by fixating on imagined flirtations between ""the lady"" and the princess's lover.",Seminar,Unknown
159,"Without someone seeing her give the signal, they really cannot accuse her of helping him",Seminar,Unknown
160,I could be wrong but I think the daughter's door opened up to being with her lover?,Seminar,Unknown
161,I like it...,Seminar,Unknown
162,"I feel that it would be fitting for the king to sentence her to the same trial, because they king and princess are both constantly described as semi-barbaric"" throughout the text.",Seminar,Unknown
163,I agree Linda Long. It makes logical sense as a conclusion based on previous events in the story.,Seminar,Unknown
164,"Part Two:  I believe the King would send his daughter to the tribunal, because even though he loves her and she is the apple of his eye, he is illustrated to be set in his ways.  He would not make an exception for her because he feels that he needs to establish his power over the citizens of the kingdom.  If he subjects his daughter to the same punishment, then he is proving his stance and making an example of her to his kingdom.  I believe she would find a way to outwit the King, maybe with the help of her lover who she granted life to in part one.",Seminar,Unknown
165,:D,Social,Unknown
166,What would you do in her place?,Imaginative,Unknown
167,Good morning,Social,Unknown
168,"That is a good point, Victoria",Seminar,Unknown
169,I had not considered Ashley's idea that this experience might be an ,Seminar,Unknown
170, It would hurt worse to know his death was my fault than to know that he was happy with someone else. ,Imaginative,Unknown
171,Which questions? like the prompt?,Deliberation,Unknown
172,"But I think he would also revel in the fact that his daughter could be so barbaric. However, he does seem to hold the random chance of fate of the arena in the highest regard so although he loves his daughter above all else I think he may make an example of her. Especially if the people found out what happened",Seminar,Unknown
173,I definitely agree with all of you stating that the king likely would subject his daughter to the same form of judgement in the arena if her actions were discovered.,Seminar,Unknown
174,acce,Seminar,Unknown
175,Do we know how many people are part of this group? ,Procedure,Unknown
176,it's wonderful!,Seminar,Unknown
177,Do you think the lady is more beautiful than the princess?,Seminar,Unknown
178,"If she really loves him, she should want him to be with someone else and alive rather than dead!",Seminar,Unknown
179,The Lady was behind the door.,Seminar,Unknown
180,"Not what do you think she would do, but what would you do if you were in the situation? ",Imaginative,Unknown
181,ok,Deliberation,Unknown
182,"Live without was the first one I put.  Then Trust, Love, and then Know",Deliberation,Unknown
183,ooooh,UX,Unknown
