,text,true_label,predicted_label
60,I did this assignment twice last semester. I think they are just trying to get feedback on how it works/doesn't work. If the prompts and/or grouping is sufficient.,Procedure,Seminar
61, I'm definitely okay with another approach that we can all agree on,Seminar,Deliberation
62,Yeah I was wondering because when I click 'My Answer' at the top it says I haven't submitted one. ,UX,Social
63,I honestly don’t think the king would have done anything after discovering his daughter broke the law. He probably covered it up or considered her already punished through her lovers fate.,Seminar,Unknown
64,"I read the story and I am ready for discussion too. Let's decide on a mutual time for this. Thanks,",Procedure,Deliberation
65,Live Without Him is probably the most important question,Deliberation,Seminar
66,I'm also okay with either ending for Part 1 as well. ,Seminar,Deliberation
67,"Oh, yeah! You make up the questions and then can advance!",UX,Social
68,She's definitely her father's child.,Seminar,Unknown
69,Any additions?,Deliberation,Social
70,I couldn't either.,Procedure,Social
71,I don't think this e-book times out so we should be ok,UX,Social
72,"Does anyone have any idea how to ""add the title SUBMITTED"" to our response?",UX,Procedure
73,"I thought we could all answer the questions in the messaging area (like you & I did), then we can take turns drafting a group response",UX,Deliberation
74,we should keep it simple,Deliberation,Other
75,But I'm not sure how this princess would think.,Seminar,Imaginative
76,Me too I had to reread the first couple pages several times before I understood what was going on.,Seminar,Unknown
77,I don't think we have to agree on a single ending as both are viable. I still will go with the Lady as being behind the curtain. The King will be upset with this but will forgive his daughter. He may do something else to the boyfriend later.,Seminar,Deliberation
78,I agree with Ashely ,Seminar,Social
79,"I think the lady is behind the door. Regardless of how jealous you may be, you can't really love someone and also be able to tolerate watching them get torn apart by a wild animal.",Seminar,Other
80,Hey guys I got through the next page,Deliberation,Social
81,"Hi Anne Lee. Yes, the reader will certainly bring her or his background and ideas to the story. And the king did indeed get what he wanted. Good points!",Seminar,Social
82,"So if the King puts his daughter on trial, does that mean he sets her up with 2 doors as well?",Seminar,Deliberation
83,I'm in google chrome,UX,Social
84,"Without someone seeing her give the signal, they really cannot accuse her of helping him",Seminar,Deliberation
85,I like it...,Seminar,Social
86,What would you do in her place?,Imaginative,Social
87,"That is a good point, Victoria",Seminar,Social
88, It would hurt worse to know his death was my fault than to know that he was happy with someone else. ,Imaginative,Seminar
89,Which questions? like the prompt?,Deliberation,Other
90,"But I think he would also revel in the fact that his daughter could be so barbaric. However, he does seem to hold the random chance of fate of the arena in the highest regard so although he loves his daughter above all else I think he may make an example of her. Especially if the people found out what happened",Seminar,Deliberation
91,acce,Seminar,Other
92,Do we know how many people are part of this group? ,Procedure,Social
93,it's wonderful!,Seminar,Social
94,Do you think the lady is more beautiful than the princess?,Seminar,Social
95,"If she really loves him, she should want him to be with someone else and alive rather than dead!",Seminar,Other
96,The Lady was behind the door.,Seminar,Unknown
97,"Not what do you think she would do, but what would you do if you were in the situation? ",Imaginative,Deliberation
98,ok,Deliberation,Social
99,"Live without was the first one I put.  Then Trust, Love, and then Know",Deliberation,Other
100,ooooh,UX,Social
